review,score
"Having previously studied at another university, which I loved, I found Aberdeen lacked the same quality of nightlife, societies, teaching and student union. I found myself resenting my subject choice and decision to pursue a postgraduate degree as I was so miserable there.",0
"Aberdeen University is excellent. They provide traditional, high class education that rivals what is on offer from neighbouring institutions across the UK. All the buildings are close by.
Only a short bus journey or 30 minute walk into the centre where all the shops, pubs, and cafes are.
Much more international than expected - but still some locals/rUK.
Class sizes are small, that made me feel valued and that staff had time for me, even in 1st year. Sometimes it felt like I was at an Ivy league/RG because of the small tutorials and class sizes (3rd year on wards). They are completing a new science building so lab classes will be in state of the art facilities.
OK - not everyone likes the library because of space issues, but there are many quiet places on campus to study.
Probably one of the best non-Russell group Unis. My undergrad experience here was much better than a higher ranking University I went to after. Rankings don't mean anything.",1
"The personal attention in this university could not be better, every lecturer is always there to help, the societies available are more than you could ever imagine and being part of one changes your live.",1
Easy to get around once you get familiar with.,1
"Good uni , good facilities. Library is nice, only downside is I wish it was 24 hours all year round.",1
You will love it! The campus is so attractive! The teachers are so patient!,1
The University of Aberdeen is the best!,1
The University of Aberdeen is the best!,1
I do not regret coming to study at the University of Aberdeen. I totally recommend.,1
Im so far enjoying uni life and Aberdeen was definitely the right choice for me:),1
"Great place to study, has great variety of courses and staff are so helpful and friendly. There is many events with the student union and with societies/clubs etc for you to participate in and make friends!",1
University of Aberdeen was my first choice from the start and I was right! It is an amazing university that provides a lot of opportunities!,1
Academic teaching well delivered with loads of extra curriculum activities. In the heart of Aberdeen and not far from city centre activities for weekend entertainment,1
"Positives: library is really modern and amazing to study in, the number of international students is really high which makes meeting people from all over the world really easy.
Negatives: If you want to study business at this uni: don't, business school is an absolute joke and uni doesn't seem to care. The city is very small, grey and there isn't much going on (besides society events). It's also not bike friendly.",1
"Positives: library is really modern and amazing to study in, the number of international students is really high which makes meeting people from all over the world really easy.
Negatives: If you want to study business at this uni: don't, business school is an absolute joke and uni doesn't seem to care. The city is very small, grey and there isn't much going on (besides society events). It's also not bike friendly.",1
Great university to go to! Really prestigious and honourable!,1
"Good University, very helpful staff.",1
lacks a good social atmosphere so it’s easy to become a recluse. ,0
"The uni really has everything that you could expect. It’s a fairly classic setup, it’s not boring and it’s conducive to a classic uni experience. There’s lots of things to do it’s just a matter of exploring. The student union also send endless emails so it’s impossible not to know what’s going on.",1
"I am currently studying Civil Engineering and cannot recommend the University enough. As a previous Marine Biology student of Stirling University, I am blown away by what it is to finally have a real education (do not go to Stirling, seriously).
The teaching facilities and top class and the Duncan Rice library is something to behold, although I cant help but think how many more computers they could fit on each floor if it weren't for the big holes in the middle.
Aberdeen Sports Village is in partnership with the University and has everything: Huge gym, indoor and outdoor running tracks, 2 full size football pitches (indoor and out door), 2 hockey pitches, 50 metre pool, Olympic dive pool and much more - all available to students at a cheap price.
There are several places to eat and socialise from Starbucks to food courts, but no traditional union to speak of. Instead we have The Bobbin and Red Lion - bars practically on campus.
Phenomenal student support! We are valued.",1
"a great University, there is many societies you can join and the facilities on campus are very good. Libary is also very useful when you just want a quiet space to study (if you can find a space).",1
There are very good facilities in this university.,1
"Only problem I have with campus is there's no bar in the students union, unlike most other unis which I've heard about",0
"I entered Aberdeen University in 2014 and was one of the 'mature' students put into temporary accommodation. I felt very segregated because of this because I was not put into halls like most students and this made my social life more far more difficult - which was incredibly unhelpful as a music student. I had a very long and arduous battle just to get into the university. Having now graduated I sometimes wish I never have had bothered putting myself through such a ordeal but there were few benefits - finding work/experience and meeting new people (eventually). I was also dyslexic and had other learning difficulties and I really felt 3rd and 4th year just went really downhill - I was very unhappy with how the course was run with the communities programme, lecturers for various reasons, no help from dyslexic advisor (off all term) combined with strike action on another course I was studying and I could feel my physical and mental health failing.",0
"good university, campus is nice",0
"Uni is a good school, I enjoy attending it. Courses are well constructed and there is lot of effort out into providing students with outside school activities such as sports clubs or various societies.",1
Avoid at all costs. Lazy pretentious run down university. Lecturers are rude and lazy and unhelpful. Depressed as the students are.,0
The university is just as it should be,1
Best university for experience and studies,1
Studying is fun and cool and all the other fun things in the dictionary,1
"University has a lovely campus, their support for students could be a tad better however",1
The university is a great place to study.,1
"great university, accommodation is a five minute walk from the campus",1
It's very interesting staying here eilidh is the best worker,1
"The university of Aberdeen is one of the best universities, when it comes to issues or personal problems they are always understanding and always try and help, and for that I am forever grateful for, the campus itself is a,among and unique and studying there has been an experience that I will not forget",1
Nice and central to accommodation,1
More access to facilities such as kettles and microwaves,0
Really great establishment. Love it.,1
"Wifi doesn't work on most laptops and most lecturers are rude, campus is nice though",0
I really love attending this university and I am getting a great education for my degree.,1
University of Aberdeen is such a peaceful place where is suitable to study and research. Many needed sources are already provided at library in the Uni,1
the staff could be more helpful,0
"The university is excellent, pity the same can't be said for the accommodation.",0
Happy to be part of Aberdeen Uni. Quaint and beautiful. I love my degree,1
Good university and nice people,1
Good university and nice people,1
