review,score
"This year the university has adapted online learning and what a mess it is. It is the worst learning experience I have ever had in my life. 3/6 courses put no effort in and the ones that do are always behind schedule and yet us students has to submit everything in time.
The ones which put in no effort are just impossible to understand what the lecturer is trying to teach. what my A-level teacher explained in three hours was spilt into 6 sections through three weeks and yet I still cannot understand what the lecturer is talking about and had to pull out my A-level notes to help me. This should not be happening. and what is worse is that it's the best one out of the three subjects. The worst one doesn't explain a thing. Lecturer just reads as his cursor moves along the PowerPoint slides and when he gives example questions he says you write this into this and you get this on the right hand side with zero comment on what any of it does. Please do not apply with online learning in place.",0
Good experience here. The professors were knowledgeable and generally approachable but the student development office and the advice and mentorship they offered were amazing. It was definitely a nice mix of academics and social life.,1
it’s just the student support lacking that the uni doesn’t ever seem to want to resolve.,0
"I graduated in 2017 and the absolute waste of life has been eating away at me ever since.
I studied design at the Art School. Coming from an HND course I was admitted into second year, thinking it would be like a continuation of what I had already learned. It was like going back to primary school. Weird conceptual briefs that amount to nothing close I would put in a professional portfolio. One of my first briefs involved picking grass out of the ground and collecting leaves? I was 23 at the time, why are we being treated like 7 year olds? I chose this uni based on prestige and no-one else on my course had been accepted - so assumed it would be top notch. That is a lie - my biggest regret in life was not accepting my 3rd year offer from Dundee, who actually prepare you for jobs in the real world.
Nothing was learned about typography, grid systems, working with clients - y'know, anything that would be useful in preparing us for work.",0
"Capital Uni, expected no less than excellent and that's what it delivers",1
The classes and assignments encourage critical thinking and do broader your knowledge. The administrative staff is great and helpful.,1
"However, sometimes the communication with lectures is not great. Personal tutor system is a good concept but it is highly dependent on who you will have as your PT.",0
"If you're actually looking for an education, the University of Edinburgh is not for you! The professors don't seem to understand that their main purpose is to teach because they don't. They prefer to go on strike and hang out in pubs while their students are left to ""do the readings"" on line. I don't know of any other universities that are happy to take your $30,000 tuition and give you NOTHING!! But the best part is that they only gave us one assessment in the whole semester, where the professors didn't show up to teach, and they picked it apart and failed me!!! When I had barely NO actual class time with a live teacher, I was penalized for their lack of instruction! This school is a sham! They take your money and you get nothing! It's a fraud!",0
The services the university provides are great and the 24 hour libraries are a life saver when you've got to stay up late on an assignment,1
"UoE is a very great university in the UK, and I am very satisfied with the study experience here. Although this year is end up with covid 19, I still think that it is an unforgetable experience in my life.",1
